name,calories,protein,fat,carbo,rating
100% Bran,70,4,1,5,68.402973
100% Natural Bran,120,3,5,8,33.983679
All-Bran,70,4,1,7,59.425505
All-Bran with Extra Fiber,50,4,0,8,93.704912
Almond Delight,110,2,2,14,34.384843
Apple Cinnamon Cheerios,110,2,2,10.5,29.509541
Apple Jacks,110,2,0,11,33.174094
Basic 4,130,3,2,18,37.038562
Bran Chex,90,2,1,15,49.120253
Bran Flakes,90,3,0,13,53.313813
Cap'n'Crunch,120,1,2,12,18.042851
Cheerios,110,6,2,17,50.764999
Cinnamon Toast Crunch,120,1,3,13,19.823573
Clusters,110,3,2,13,40.400208
Cocoa Puffs,110,1,1,12,22.736446
Corn Chex,110,2,0,22,41.445019
Corn Flakes,100,2,0,21,45.863324
Corn Pops,110,1,0,13,35.782791
Count Chocula,110,1,1,12,22.396513
Cracklin' Oat Bran,110,3,3,10,40.448772
Cream of Wheat (Quick),100,3,0,21,64.533816
Crispix,110,2,0,21,46.895644
Crispy Wheat & Raisins,100,2,1,11,36.176196
Double Chex,100,2,0,18,44.330856
Froot Loops,110,2,1,11,32.207582
Frosted Flakes,110,1,0,14,31.435973
Frosted Mini-Wheats,100,3,0,14,58.345141
Fruit & Fibre Dates,,,,,
Fruitful Bran,120,3,0,14,41.015492
Fruity Pebbles,110,1,1,13,28.025765
Golden Crisp,100,2,0,11,35.252444
Golden Grahams,110,1,1,15,23.804043
Grape Nuts Flakes,100,3,1,15,52.076897
Grape-Nuts,110,3,0,17,53.371007
Great Grains Pecan,120,3,3,13,45.811716
Honey Graham Ohs,120,1,2,12,21.871292
Honey Nut Cheerios,110,3,1,11.5,31.072217
Honey-comb,110,1,0,14,28.742414
Just Right Crunchy  Nuggets,110,2,1,17,36.523683
Just Right Fruit & Nut,140,3,1,20,36.471512
Kix,110,2,1,21,39.241114
Life,100,4,2,12,45.328074
Lucky Charms,110,2,1,12,26.734515
Maypo,100,4,1,16,54.850917
Muesli Raisins,,,,,
Muesli Raisins,,,,,
Mueslix Crispy Blend,160,3,2,17,30.313351
Multi-Grain Cheerios,100,2,1,15,40.105965
Nut&Honey Crunch,120,2,1,15,29.924285
Nutri-Grain Almond-Raisin,140,3,2,21,40.69232
Nutri-grain Wheat,90,3,0,18,59.642837
Oatmeal Raisin Crisp,130,3,2,13.5,30.450843
Post Nat. Raisin Bran,120,3,1,11,37.840594
Product 19,100,3,0,20,41.50354
Puffed Rice,50,1,0,13,60.756112
Puffed Wheat,50,2,0,10,63.005645
Quaker Oat Squares,100,4,1,14,49.511874
Quaker Oatmeal,100,5,2,-1,50.828392
Raisin Bran,120,3,1,14,39.259197
Raisin Nut Bran,100,3,2,10.5,39.7034
Raisin Squares,90,2,0,15,55.333142
Rice Chex,110,1,0,23,41.998933
Rice Krispies,110,2,0,22,40.560159
Shredded Wheat,80,2,0,16,68.235885
Shredded Wheat 'n'Bran,90,3,0,19,74.472949
Shredded Wheat spoon size,90,3,0,20,72.801787
Smacks,110,2,1,9,31.230054
Special K,110,6,0,16,53.131324
Strawberry Fruit Wheats,90,2,0,15,59.363993
Total Corn Flakes,110,2,1,21,38.839746
Total Raisin Bran,140,3,1,15,28.592785
Total Whole Grain,100,3,1,16,46.658844
Triples,110,2,1,21,39.106174
Trix,110,1,1,13,27.753301
Wheat Chex,100,3,1,17,49.787445
Wheaties,100,3,1,17,51.592193
Wheaties Honey Gold,110,2,1,16,36.187559
